Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlightsPerCraft,TotalFlights,TotalDistance,TotalAirTimePerCraft,DaysFlownPerCraft,AvgAirTimePerDay,AvgFlightsPerDay,TotalAirTime,cancelled,Month
2005,F9,Frontier Airlines Inc.,388,1083.27,53080.00,48408881,154994.06,231.67,666.62,4.65,7594709.00,0,Total
2005,F9,Frontier Airlines Inc.,80,4.17,175.00,153548,0.00,2.43,0.00,1.74,0.00,1,Total
2005,EV,ExpressJet Airlines Inc.,1790,1615.26,290747.00,133469514,148371.58,278.13,529.79,5.78,26706885.00,0,Total
2005,EV,ExpressJet Airlines Inc.,1620,78.53,13900.00,5781210,0.00,37.92,0.00,2.05,0.00,1,Total
2005,DL,Delta Air Lines Inc.,6164,1201.82,640571.00,553082638,172142.33,298.46,544.24,3.80,91751860.00,0,Total
2005,DL,Delta Air Lines Inc.,3989,34.23,17731.00,11185532,0.00,22.81,0.00,1.45,0.00,1,Total
2005,DH,Independence Air,873,1406.47,133615.00,59603445,132911.02,250.72,523.66,5.57,12626547.00,0,Total
2005,DH,Independence Air,559,21.15,2877.00,1068175,0.00,11.41,0.00,1.70,0.00,1,Total
2005,CO,Continental Air Lines Inc.,3973,835.01,293922.00,331673562,149401.68,284.99,511.48,2.79,52589390.00,0,Total
2005,CO,Continental Air Lines Inc.,12,2739.00,2739.00,2462817,0.00,216.00,0.00,11.38,0.00,1,Total
2005,B6,JetBlue Airways,950,1184.54,110162.00,149668151,241492.48,289.41,825.11,4.06,22458801.00,0,Total
2005,B6,JetBlue Airways,19,98.67,888.00,1089981,0.00,7.89,0.00,8.12,0.00,1,Total
2005,AS,Alaska Airlines Inc.,1296,1400.63,155470.00,136050026,195643.34,316.83,612.18,4.45,21716411.00,0,Total
2005,AS,Alaska Airlines Inc.,12,2630.00,2630.00,1981138,0.00,341.00,0.00,7.61,0.00,1,Total
2005,AA,American Airlines Inc.,8445,934.95,663817.00,713366725,156423.78,285.99,521.55,3.05,111060887.00,0,Total
2005,AA,American Airlines Inc.,12,9752.00,9752.00,9485549,0.00,351.00,0.00,27.40,0.00,1,Total
2006,YV,Mesa Airlines Inc.,1683,1856.73,295220.00,120650572,165314.25,297.23,553.84,6.23,26284966.00,0,Total
2006,YV,Mesa Airlines Inc.,1408,60.79,9544.00,3470598,0.00,30.94,0.00,1.92,0.00,1,Total
2006,XE,ExpressJet Airlines Inc.,3268,1575.74,431754.00,231948162,172456.17,344.67,499.44,4.56,47252991.00,0,Total
2006,XE,ExpressJet Airlines Inc.,12,9716.00,9716.00,4302105,0.00,296.00,0.00,32.23,0.00,1,Total
2006,WN,Southwest Airlines Co.,5527,2266.88,1090370.00,678716767,234585.52,338.17,692.02,6.71,112835634.00,0,Total
2006,WN,Southwest Airlines Co.,12,8951.00,8951.00,4258255,0.00,358.00,0.00,25.00,0.00,1,Total
2006,US,US Airways Inc.,4351,1073.83,499333.00,421277984,150255.46,253.10,582.38,4.15,69868791.00,0,Total
2006,US,US Airways Inc.,704,39.65,5511.00,3261087,0.00,10.40,0.00,1.81,0.00,1,Total
2006,UA,United Air Lines Inc.,5320,1064.72,489770.00,538510385,180359.56,287.63,583.36,3.42,82965397.00,0,Total
2006,UA,United Air Lines Inc.,236,58.17,10238.00,9651845,0.00,3.39,0.00,2.34,0.00,1,Total
2006,TZ,ATA Airlines d/b/a ATA,275,645.83,19375.00,27915589,136369.37,211.27,625.33,2.91,4091081.00,0,Total
2006,TZ,ATA Airlines d/b/a ATA,103,9.87,227.00,278281,0.00,6.74,0.00,1.44,0.00,1,Total
2006,OO,SkyWest Airlines Inc.,2933,2043.00,535265.00,212150777,171962.12,319.55,536.85,6.41,45054076.00,0,Total
2006,OO,SkyWest Airlines Inc.,13,6422.00,12844.00,4406646,0.00,182.00,0.00,32.63,0.00,1,Total
2006,OH,Comair Inc.,2014,1549.85,271224.00,128488430,155348.64,320.95,480.25,4.80,27186012.00,0,Total
2006,OH,Comair Inc.,1167,39.51,6875.00,3227849,0.00,12.97,0.00,1.59,0.00,1,Total
2006,NW,Northwest Airlines Inc.,3771,1226.44,428026.00,328388724,163108.91,296.22,547.22,4.05,56925010.00,0,Total
2006,NW,Northwest Airlines Inc.,1681,15.41,4854.00,2574027,0.00,10.38,0.00,1.47,0.00,1,Total
2006,MQ,Envoy Air,3101,1970.62,530098.00,218352809,176068.14,328.68,533.18,5.98,47362331.00,0,Total
2006,MQ,Envoy Air,12,19990.00,19990.00,7881748,0.00,365.00,0.00,54.73,0.00,1,Total
2006,HA,Hawaiian Airlines Inc.,304,1996.92,51920.00,30514781,183541.54,328.85,556.07,6.13,4772080.00,0,Total
2006,HA,Hawaiian Airlines Inc.,11,253.00,253.00,161083,0.00,85.00,0.00,3.09,0.00,1,Total
2006,FL,AirTran Airways Corporation,1397,1855.94,235704.00,153648263,217698.59,326.87,665.96,5.67,27647721.00,0,Total
2006,FL,AirTran Airways Corporation,703,15.65,1941.00,1112280,0.00,9.04,0.00,1.76,0.00,1,Total
